id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22
sid0001,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
sid0002,1,1,,,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
sid0003,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
sid0004,1,1,0,0,,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1
sid0005,1,0,1,1,1,,1,,1,0,1,1,0,0,1,1,0,0,1,1,1,1
sid0006,1,0,1,0,0,1,1,,1,1,0,0,1,1,1,1,1,0,0,1,0,1
sid0007,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,
sid0008,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
sid0009,1,,,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
sid0010,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
sid0011,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,
sid0012,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
sid0013,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0
sid0014,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
sid0015,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0
sid0016,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
sid0017,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
sid0018,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
sid0019,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
sid0020,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
sid0021,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0
sid0022,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
sid0023,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0
sid0024,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0
sid0025,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
sid0026,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0
sid0027,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0
sid0028,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1
sid0029,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
sid0030,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
sid0031,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
sid0032,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1
sid0033,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
sid0034,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1
sid0035,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
sid0036,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1
sid0037,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
sid0038,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1
sid0039,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1
sid0040,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
sid0041,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1
sid0042,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1
sid0043,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
sid0044,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
sid0045,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
sid0046,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1
sid0047,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1
sid0048,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
sid0049,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
sid0050,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
